price,volume,type
252500.0,6.3e-05,sell
252599.9999,4.02e-06,sell
252699.9999,4.02e-06,sell
252739.8,0.0002,sell
252799.9999,4.02e-06,sell
252850.0,0.03988001,sell
252899.9999,4.02e-06,sell
252999.9999,4e-06,sell
253000.0,0.0503413,sell
253099.9999,4e-06,sell
253199.9999,4e-06,sell
253299.9999,4e-06,sell
253333.33,0.04,sell
253399.9999,4e-06,sell
253499.9999,4e-06,sell
253599.9999,4e-06,sell
253699.9999,4e-06,sell
253799.9999,4e-06,sell
253899.9999,4e-06,sell
253999.9999,4e-06,sell
254000.0,5e-06,sell
254099.9999,4e-06,sell
254199.9999,3.98e-06,sell
254299.9999,3.98e-06,sell
254346.28,4.576e-05,sell
254367.89,0.00016093,sell
254399.9999,3.98e-06,sell
254499.9999,3.98e-06,sell
254599.9999,3.98e-06,sell
254699.9999,3.98e-06,sell
254799.9999,3.98e-06,sell
254899.9999,3.98e-06,sell
254987.65,0.0019,sell
254998.0,0.003,sell
254999.9999,3.98e-06,sell
255000.0,0.31300092,sell
255099.9999,3.98e-06,sell
255199.9999,3.98e-06,sell
255299.9999,3.98e-06,sell
255333.33,0.00059477,sell
255399.9999,3.98e-06,sell
255465.32,0.00043283,sell
255499.9999,3.98e-06,sell
255555.55,0.23993753,sell
255599.9999,3.98e-06,sell
255690.0,0.0097396,sell
255699.9999,3.98e-06,sell
255799.9999,3.98e-06,sell
255830.1,0.00014514,sell
255899.9999,3.98e-06,sell
255999.9999,0.00047405,sell
256000.0,0.01376901,sell
256099.9999,3.96e-06,sell
256199.9999,3.96e-06,sell
256299.9999,3.96e-06,sell
256399.9999,3.96e-06,sell
256499.9999,3.96e-06,sell
256587.0,0.0001,sell
256599.9999,3.94e-06,sell
256699.9999,3.94e-06,sell
256799.9999,3.94e-06,sell
256843.44,0.00181908,sell
256899.9999,3.94e-06,sell
256999.9999,3.94e-06,sell
257000.0,0.070005,sell
257099.9999,3.94e-06,sell
257199.9999,3.94e-06,sell
257299.9999,3.94e-06,sell
257345.86,0.0001,sell
257399.9999,3.94e-06,sell
257499.9999,3.94e-06,sell
257599.9999,3.94e-06,sell
257699.9999,3.94e-06,sell
257799.9999,3.94e-06,sell
257853.62,0.0065,sell
257893.44,0.00188734,sell
257899.5,0.0001,sell
257899.9999,3.94e-06,sell
257999.9999,3.94e-06,sell
258000.0,0.00844688,sell
258099.9999,3.92e-06,sell
258199.9999,3.92e-06,sell
258299.9999,3.92e-06,sell
258399.9999,3.92e-06,sell
258499.9999,3.92e-06,sell
258599.9999,3.92e-06,sell
258623.0,0.01050854,sell
258656.66,0.008,sell
258699.9999,3.92e-06,sell
258799.9999,3.92e-06,sell
258899.9999,3.92e-06,sell
258900.0,0.0005,sell
258998.0,0.003,sell
258999.9999,3.92e-06,sell
259000.0,0.21148202,sell
259099.9999,3.92e-06,sell
259199.0,0.00022894,sell
259199.9999,3.92e-06,sell
259299.9999,3.92e-06,sell
259399.9999,3.92e-06,sell
259499.9999,3.9e-06,sell
259599.9999,3.9e-06,sell
259600.0,0.00396551,sell
259699.9999,3.9e-06,sell
259799.9999,3.9e-06,sell
259899.9999,3.9e-06,sell
259900.0,0.001,sell
259999.9999,3.9e-06,sell
260000.0,0.5704461,sell
260000.08,0.0002886,sell
260099.9999,3.9e-06,sell
260199.9999,3.9e-06,sell
260299.9999,3.9e-06,sell
260399.9999,3.9e-06,sell
260499.9999,3.9e-06,sell
260500.01,0.00017931,sell
260599.9999,3.9e-06,sell
260699.9999,3.9e-06,sell
260799.9999,3.9e-06,sell
260800.0,0.0007495,sell
260899.9999,7.76e-06,sell
260999.9999,3.88e-06,sell
